주,신호수,평균섹터강도,N1_평균수익률,N2_평균수익률,N3_평균수익률,N5_평균수익률,N7_평균수익률,N10_평균수익률,N15_평균수익률,N20_평균수익률,최고였던_보유일수
2020-37주,13,16.642,-3.52,-3.149,-3.456,-4.761,-5.591,-6.51,-6.51,-6.51,2
2020-38주,17,7.467,-1.29,-1.458,-2.013,-3.929,-5.507,-5.36,-4.975,-5.439,1
2020-39주,4,3.308,-6.133,-6.133,-6.133,-6.133,-6.133,-6.133,-6.133,-6.133,1
2020-42주,6,-1.862,0.018,-0.48,1.714,0.699,-3.112,-5.275,-5.909,-5.909,3
2020-43주,12,-1.726,-1.674,-3.088,-3.499,-5.044,-5.367,-6.156,-6.156,-6.156,1
2020-44주,6,-0.335,-2.256,-1.623,-1.976,0.552,0.732,-0.154,4.898,6.152,20
2020-45주,12,1.141,0.713,0.121,-0.136,-0.985,-1.776,0.888,2.789,4.91,20
2020-46주,19,0.286,-0.258,-0.518,-1.075,-0.282,-0.523,4.447,5.058,6.537,20
2020-47주,19,0.919,1.601,0.916,1.122,4.073,3.972,3.603,5.626,6.992,20
2020-48주,21,1.177,-1.941,-1.974,-0.828,-0.041,0.486,0.902,4.235,6.152,20
2020-49주,13,-0.149,-0.767,-0.304,-1.82,-0.243,0.288,-0.122,-1.92,-2.585,7
2020-50주,17,-1.249,-0.609,-0.052,0.299,3.27,4.758,4.099,10.155,11.508,20
2020-51주,25,2.623,0.007,-1.319,-1.54,-2.085,-0.487,1.775,5.354,7.653,20
2020-52주,11,5.144,1.37,3.546,5.959,9.624,14.001,21.614,24.741,31.289,20
2020-53주,8,3.989,3.547,4.443,4.269,6.111,7.108,9.566,17.315,12.735,15
2021-01주,43,4.845,-0.248,-0.359,0.841,-0.786,0.477,0.37,2.364,1.451,15
2021-02주,19,3.778,0.805,1.518,4.115,5.002,7.372,4.615,7.129,8.226,20
